CSD,BORO,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
1,M,09-12,SPEC ED,ENGLISH,MS English Core,-,21,2,10.5
1,M,09-12,SPEC ED,ENGLISH,Other English,-,22,2,11
1,M,09-12,SPEC ED,MATH,Integrated Algebra,-,29,3,9.7
1,M,09-12,SPEC ED,MATH,Geometry,-,6,1,6
1,M,09-12,SPEC ED,SCIENCE,Earth Science,-,16,2,8
1,M,09-12,SPEC ED,SCIENCE,Living Environment,-,30,2,15
1,M,09-12,SPEC ED,SCIENCE,Other Science,-,8,1,8
1,M,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,22,2,11
1,M,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,6,1,6
2,M,0K,GEN ED,-,-,-,2126,94,22.6
2,M,0K,CTT,-,-,-,459,21,21.9
2,M,0K,G&T,-,-,-,223,11,20.3
2,M,01,GEN ED,-,-,-,2049,90,22.8
2,M,01,CTT,-,-,-,431,19,22.7
2,M,01,G&T,-,-,-,185,8,23.1
2,M,02,GEN ED,-,-,-,1834,79,23.2
2,M,02,CTT,-,-,-,525,23,22.8
2,M,02,G&T,-,-,-,151,6,25.2
2,M,03,GEN ED,-,-,-,1710,71,24.1
2,M,03,CTT,-,-,-,467,20,23.4
2,M,03,G&T,-,-,-,154,6,25.7
2,M,04,GEN ED,-,-,-,1690,67,25.2
2,M,04,CTT,-,-,-,444,17,26.1
2,M,04,G&T,-,-,-,136,5,27.2
2,M,05,GEN ED,-,-,-,1797,67,26.8
2,M,05,CTT,-,-,-,402,16,25.1
2,M,05,G&T,-,-,-,150,6,25
2,M,06,GEN ED,-,-,-,1726,69,25
2,M,06,CTT,-,-,-,496,20,24.8
2,M,07,GEN ED,-,-,-,1788,69,25.9
2,M,07,CTT,-,-,-,475,19,25
2,M,08,GEN ED,-,-,-,1815,66,27.5
2,M,08,CTT,-,-,-,418,16,26.1
2,M,09,GEN ED,-,-,-,419,20,21
2,M,0K-09,SPEC ED,-,-,12:1,184,21,8.8
2,M,0K-09,SPEC ED,-,-,12:1:1,286,31,9.2
2,M,MS Core,GEN ED,ENGLISH,MS English Core,-,3798,140,27.1
2,M,MS Core,GEN ED,MATH,MS Math Core,-,4019,152,26.4
2,M,MS Core,GEN ED,MATH,Integrated Algebra,-,288,10,28.8
2,M,MS Core,GEN ED,MATH,Trigonometry,-,34,1,34
2,M,MS Core,GEN ED,MATH,Math A,-,43,2,21.5
2,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,4060,146,27.8
2,M,MS Core,GEN ED,SCIENCE,Earth Science,-,177,8,22.1
2,M,MS Core,GEN ED,SCIENCE,Living Environment,-,77,4,19.3
2,M,MS Core,GEN ED,SCIENCE,Other Science,-,90,5,18
2,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,3265,124,26.3
2,M,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,43,2,21.5
2,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,16,1,16
2,M,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,75,4,18.8
2,M,MS Core,CTT,ENGLISH,MS English Core,-,1104,42,26.3
2,M,MS Core,CTT,MATH,MS Math Core,-,1117,42,26.6
2,M,MS Core,CTT,SCIENCE,MS Science Core,-,1136,42,27
2,M,MS Core,CTT,SCIENCE,Other Science,-,58,3,19.3
2,M,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,784,31,25.3
2,M,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,14,1,14
2,M,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,22,1,22
2,M,MS Core,SPEC ED,ENGLISH,MS English Core,-,99,9,11
2,M,MS Core,SPEC ED,MATH,MS Math Core,-,56,5,11.2
2,M,MS Core,SPEC ED,SCIENCE,MS Science Core,-,62,6,10.3
2,M,MS Core,SPEC ED,SCIENCE,Other Science,-,10,1,10
2,M,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,66,6,11
2,M,MS Core,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,10,1,10
2,M,09-12,GEN ED,ENGLISH,English 9,-,7813,308,25.4
2,M,09-12,GEN ED,ENGLISH,English 10,-,7022,265,26.5
2,M,09-12,GEN ED,ENGLISH,English 11,-,6921,271,25.5
2,M,09-12,GEN ED,ENGLISH,English 12,-,5808,230,25.3
2,M,09-12,GEN ED,ENGLISH,MS English Core,-,257,11,23.4
2,M,09-12,GEN ED,ENGLISH,Other English,-,5333,241,22.1
2,M,09-12,GEN ED,MATH,Integrated Algebra,-,10066,424,23.7
2,M,09-12,GEN ED,MATH,Geometry,-,7718,288,26.8
2,M,09-12,GEN ED,MATH,Trigonometry,-,5104,188,27.1
2,M,09-12,GEN ED,MATH,Math A,-,650,36,18.1
2,M,09-12,GEN ED,MATH,Math B,-,332,15,22.1
2,M,09-12,GEN ED,MATH,Other Math,-,3330,123,27.1
2,M,09-12,GEN ED,SCIENCE,Earth Science,-,7348,263,27.9
2,M,09-12,GEN ED,SCIENCE,Living Environment,-,14822,558,26.6
2,M,09-12,GEN ED,SCIENCE,Chemistry,-,8614,304,28.3
2,M,09-12,GEN ED,SCIENCE,Physics,-,4820,164,29.4
2,M,09-12,GEN ED,SCIENCE,Other Science,-,7821,306,25.6
2,M,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,15568,588,26.5
2,M,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,8735,342,25.5
2,M,09-12,GEN ED,SOCIAL STUDIES,Economics,-,1571,63,24.9
2,M,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,3612,132,27.4
2,M,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,1985,87,22.8
2,M,09-12,CTT,ENGLISH,English 9,-,1649,64,25.8
2,M,09-12,CTT,ENGLISH,English 10,-,1480,56,26.4
2,M,09-12,CTT,ENGLISH,English 11,-,862,35,24.6
2,M,09-12,CTT,ENGLISH,English 12,-,639,25,25.6
2,M,09-12,CTT,ENGLISH,MS English Core,-,92,4,23
2,M,09-12,CTT,ENGLISH,Other English,-,745,34,21.9
2,M,09-12,CTT,MATH,Integrated Algebra,-,2689,106,25.4
2,M,09-12,CTT,MATH,Geometry,-,1020,40,25.5
2,M,09-12,CTT,MATH,Trigonometry,-,294,12,24.5
2,M,09-12,CTT,MATH,Math A,-,133,5,26.6
2,M,09-12,CTT,MATH,Math B,-,78,3,26
2,M,09-12,CTT,MATH,Other Math,-,135,6,22.5
2,M,09-12,CTT,SCIENCE,Earth Science,-,1624,60,27.1
2,M,09-12,CTT,SCIENCE,Living Environment,-,2819,105,26.8
2,M,09-12,CTT,SCIENCE,Chemistry,-,553,22,25.1
2,M,09-12,CTT,SCIENCE,Physics,-,141,5,28.2
2,M,09-12,CTT,SCIENCE,Other Science,-,1420,53,26.8
2,M,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,3230,118,27.4
2,M,09-12,CTT,SOCIAL STUDIES,US History & Government,-,1367,54,25.3
2,M,09-12,CTT,SOCIAL STUDIES,Economics,-,282,9,31.3
2,M,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,440,18,24.4
2,M,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,174,9,19.3
2,M,09-12,SPEC ED,ENGLISH,English 9,-,162,14,11.6
2,M,09-12,SPEC ED,ENGLISH,English 10,-,109,10,10.9
2,M,09-12,SPEC ED,ENGLISH,English 11,-,63,7,9
2,M,09-12,SPEC ED,ENGLISH,English 12,-,49,4,12.3
2,M,09-12,SPEC ED,ENGLISH,Other English,-,38,4,9.5
2,M,09-12,SPEC ED,MATH,Integrated Algebra,-,254,23,11
2,M,09-12,SPEC ED,MATH,Geometry,-,59,5,11.8
2,M,09-12,SPEC ED,MATH,Math A,-,28,2,14
2,M,09-12,SPEC ED,SCIENCE,Earth Science,-,89,9,9.9
2,M,09-12,SPEC ED,SCIENCE,Living Environment,-,263,20,13.2
2,M,09-12,SPEC ED,SCIENCE,Chemistry,-,64,7,9.1
2,M,09-12,SPEC ED,SCIENCE,Other Science,-,79,6,13.2
2,M,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,273,22,12.4
2,M,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,89,9,9.9
2,M,09-12,SPEC ED,SOCIAL STUDIES,Economics,-,21,1,21
2,M,09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,44,4,11
3,M,0K,GEN ED,-,-,-,1077,50,21.5
3,M,0K,CTT,-,-,-,239,12,19.9
3,M,0K,G&T,-,-,-,193,8,24.1
3,M,01,GEN ED,-,-,-,1090,49,22.2
3,M,01,CTT,-,-,-,245,11,22.3
3,M,01,G&T,-,-,-,224,9,24.9
3,M,02,GEN ED,-,-,-,970,45,21.6
3,M,02,CTT,-,-,-,234,11,21.3
3,M,02,G&T,-,-,-,174,7,24.9
3,M,03,GEN ED,-,-,-,843,39,21.6
3,M,03,CTT,-,-,-,332,13,25.5
3,M,03,G&T,-,-,-,198,8,24.8
3,M,04,GEN ED,-,-,-,934,42,22.2
3,M,04,CTT,-,-,-,201,9,22.3
3,M,04,G&T,-,-,-,184,7,26.3
3,M,05,GEN ED,-,-,-,887,37,24
3,M,05,CTT,-,-,-,233,10,23.3
3,M,05,G&T,-,-,-,191,8,23.9
3,M,06,GEN ED,-,-,-,728,27,27
3,M,06,CTT,-,-,-,244,9,27.1
3,M,06,G&T,-,-,-,278,9,30.9
3,M,07,GEN ED,-,-,-,665,26,25.6
3,M,07,CTT,-,-,-,221,8,27.6
3,M,07,G&T,-,-,-,280,9,31.1
3,M,08,GEN ED,-,-,-,657,24,27.4
3,M,08,CTT,-,-,-,288,11,26.2
3,M,08,G&T,-,-,-,254,8,31.8
3,M,09,GEN ED,-,-,-,100,4,25
3,M,0K-09,SPEC ED,-,-,12:1,42,4,10.5
3,M,0K-09,SPEC ED,-,-,12:1:1,416,44,9.5
3,M,MS Core,GEN ED,ENGLISH,MS English Core,-,2468,97,25.4
3,M,MS Core,GEN ED,MATH,MS Math Core,-,2193,88,24.9
3,M,MS Core,GEN ED,MATH,Integrated Algebra,-,498,17,29.3
3,M,MS Core,GEN ED,MATH,Math A,-,64,2,32
3,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,1914,75,25.5
3,M,MS Core,GEN ED,SCIENCE,Earth Science,-,273,9,30.3
3,M,MS Core,GEN ED,SCIENCE,Living Environment,-,401,14,28.6
3,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,1917,72,26.6
3,M,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,245,8,30.6
3,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,110,4,27.5
3,M,MS Core,CTT,ENGLISH,MS English Core,-,508,21,24.2
3,M,MS Core,CTT,MATH,MS Math Core,-,470,20,23.5
3,M,MS Core,CTT,MATH,Integrated Algebra,-,22,1,22
3,M,MS Core,CTT,SCIENCE,MS Science Core,-,559,21,26.6
3,M,MS Core,CTT,SCIENCE,Living Environment,-,22,1,22
3,M,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,490,18,27.2
3,M,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,22,1,22
3,M,MS Core,SPEC ED,ENGLISH,MS English Core,-,116,11,10.5
3,M,MS Core,SPEC ED,MATH,MS Math Core,-,89,9,9.9
3,M,MS Core,SPEC ED,SCIENCE,MS Science Core,-,94,10,9.4
3,M,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,88,9,9.8
3,M,09-12,GEN ED,ENGLISH,English 9,-,1895,75,25.3
3,M,09-12,GEN ED,ENGLISH,English 10,-,1894,70,27.1
3,M,09-12,GEN ED,ENGLISH,English 11,-,2190,88,24.9
3,M,09-12,GEN ED,ENGLISH,English 12,-,1807,67,27
3,M,09-12,GEN ED,ENGLISH,MS English Core,-,326,13,25.1
3,M,09-12,GEN ED,ENGLISH,Other English,-,866,43,20.1
3,M,09-12,GEN ED,MATH,Integrated Algebra,-,2440,104,23.5
3,M,09-12,GEN ED,MATH,Geometry,-,2144,81,26.5
3,M,09-12,GEN ED,MATH,Trigonometry,-,934,34,27.5
3,M,09-12,GEN ED,MATH,Math A,-,33,2,16.5
3,M,09-12,GEN ED,MATH,Math B,-,54,3,18
3,M,09-12,GEN ED,MATH,Other Math,-,1406,49,28.7
3,M,09-12,GEN ED,SCIENCE,Earth Science,-,2169,83,26.1
3,M,09-12,GEN ED,SCIENCE,Living Environment,-,2832,117,24.2
3,M,09-12,GEN ED,SCIENCE,Chemistry,-,1257,44,28.6
3,M,09-12,GEN ED,SCIENCE,Physics,-,637,27,23.6
3,M,09-12,GEN ED,SCIENCE,Other Science,-,1966,73,26.9
3,M,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,4199,153,27.4
3,M,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,3150,112,28.1
3,M,09-12,GEN ED,SOCIAL STUDIES,Economics,-,160,7,22.9
3,M,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,866,35,24.7
3,M,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,179,10,17.9
3,M,09-12,CTT,ENGLISH,English 9,-,193,8,24.1
3,M,09-12,CTT,ENGLISH,English 10,-,160,7,22.9
3,M,09-12,CTT,ENGLISH,English 11,-,160,7,22.9
3,M,09-12,CTT,ENGLISH,English 12,-,67,3,22.3
3,M,09-12,CTT,ENGLISH,MS English Core,-,185,7,26.4
3,M,09-12,CTT,ENGLISH,Other English,-,58,3,19.3
3,M,09-12,CTT,MATH,Integrated Algebra,-,436,20,21.8
3,M,09-12,CTT,MATH,Geometry,-,48,2,24
3,M,09-12,CTT,MATH,Other Math,-,75,3,25
3,M,09-12,CTT,SCIENCE,Earth Science,-,56,2,28
3,M,09-12,CTT,SCIENCE,Living Environment,-,277,12,23.1
3,M,09-12,CTT,SCIENCE,Physics,-,62,3,20.7
3,M,09-12,CTT,SCIENCE,Other Science,-,284,11,25.8
3,M,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,475,18,26.4
3,M,09-12,CTT,SOCIAL STUDIES,US History & Government,-,117,5,23.4
3,M,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,67,3,22.3
3,M,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,38,2,19
3,M,09-12,SPEC ED,ENGLISH,English 9,-,38,3,12.7
3,M,09-12,SPEC ED,ENGLISH,English 10,-,15,1,15
3,M,09-12,SPEC ED,ENGLISH,English 11,-,44,4,11
3,M,09-12,SPEC ED,ENGLISH,English 12,-,10,1,10
3,M,09-12,SPEC ED,ENGLISH,Other English,-,34,3,11.3
3,M,09-12,SPEC ED,MATH,Integrated Algebra,-,77,6,12.8
3,M,09-12,SPEC ED,MATH,Geometry,-,21,2,10.5
3,M,09-12,SPEC ED,SCIENCE,Earth Science,-,36,3,12
3,M,09-12,SPEC ED,SCIENCE,Living Environment,-,74,6,12.3
3,M,09-12,SPEC ED,SCIENCE,Other Science,-,10,1,10
3,M,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,62,5,12.4
3,M,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,54,4,13.5
3,M,09-12,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,13,1,13
4,M,0K,GEN ED,-,-,-,748,39,19.2
4,M,0K,CTT,-,-,-,178,11,16.2
4,M,0K,G&T,-,-,-,25,1,25
4,M,01,GEN ED,-,-,-,754,38,19.8
4,M,01,CTT,-,-,-,216,11,19.6
4,M,02,GEN ED,-,-,-,763,39,19.6
4,M,02,CTT,-,-,-,170,9,18.9
4,M,03,GEN ED,-,-,-,765,35,21.9
4,M,03,CTT,-,-,-,227,11,20.6
4,M,04,GEN ED,-,-,-,745,34,21.9
4,M,04,CTT,-,-,-,209,10,20.9
4,M,05,GEN ED,-,-,-,713,31,23
4,M,05,CTT,-,-,-,224,10,22.4
4,M,05,G&T,-,-,-,31,1,31
4,M,06,GEN ED,-,-,-,791,34,23.3
4,M,06,CTT,-,-,-,183,8,22.9
4,M,07,GEN ED,-,-,-,803,34,23.6
4,M,07,CTT,-,-,-,220,9,24.4
4,M,08,GEN ED,-,-,-,753,30,25.1
4,M,08,CTT,-,-,-,297,11,27
4,M,0K-09,SPEC ED,-,-,12:1,49,5,9.8
4,M,0K-09,SPEC ED,-,-,12:1:1,751,73,10.3
4,M,0K-09,SPEC ED,-,-,6:1:1,5,1,5
4,M,MS Core,GEN ED,ENGLISH,MS English Core,-,2051,88,23.3
4,M,MS Core,GEN ED,MATH,MS Math Core,-,1949,79,24.7
4,M,MS Core,GEN ED,MATH,Integrated Algebra,-,81,3,27
4,M,09-12,CTT,ENGLISH,English 9,-,130,5,26
4,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,1789,73,24.5
4,M,MS Core,GEN ED,SCIENCE,Earth Science,-,68,2,34
4,M,MS Core,GEN ED,SCIENCE,Living Environment,-,239,11,21.7
4,M,MS Core,GEN ED,SCIENCE,Other Science,-,13,1,13
4,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,1802,76,23.7
4,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,70,3,23.3
4,M,MS Core,CTT,ENGLISH,MS English Core,-,445,19,23.4
5,M,0K,G&T,-,-,-,21,1,21
4,M,MS Core,CTT,MATH,MS Math Core,-,453,18,25.2
4,M,MS Core,CTT,MATH,Integrated Algebra,-,34,2,17
4,M,MS Core,CTT,MATH,Other Math,-,28,1,28
4,M,MS Core,CTT,SCIENCE,MS Science Core,-,482,19,25.4
4,M,MS Core,CTT,SCIENCE,Earth Science,-,31,2,15.5
4,M,MS Core,CTT,SCIENCE,Living Environment,-,89,4,22.3
4,M,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,531,21,25.3
4,M,MS Core,CTT,SOCIAL STUDIES,US History & Government,-,47,3,15.7
4,M,MS Core,SPEC ED,ENGLISH,MS English Core,-,188,19,9.9
4,M,MS Core,SPEC ED,MATH,MS Math Core,-,211,21,10
4,M,MS Core,SPEC ED,MATH,Integrated Algebra,-,19,2,9.5
4,M,MS Core,SPEC ED,MATH,Math A,-,23,2,11.5
4,M,MS Core,SPEC ED,SCIENCE,MS Science Core,-,157,15,10.5
4,M,MS Core,SPEC ED,SCIENCE,Earth Science,-,7,1,7
4,M,MS Core,SPEC ED,SCIENCE,Living Environment,-,33,3,11
4,M,MS Core,SPEC ED,SCIENCE,Other Science,-,10,1,10
4,M,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,191,19,10.1
4,M,MS Core,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,10,1,10
4,M,MS Core,SPEC ED,SOCIAL STUDIES,US History & Government,-,7,1,7
4,M,09-12,GEN ED,ENGLISH,English 9,-,898,35,25.7
4,M,09-12,GEN ED,ENGLISH,English 10,-,854,31,27.5
4,M,09-12,GEN ED,ENGLISH,English 11,-,792,31,25.5
4,M,09-12,GEN ED,ENGLISH,English 12,-,681,27,25.2
4,M,09-12,GEN ED,ENGLISH,Other English,-,502,22,22.8
4,M,09-12,GEN ED,MATH,Integrated Algebra,-,903,40,22.6
4,M,09-12,GEN ED,MATH,Geometry,-,933,34,27.4
4,M,09-12,GEN ED,MATH,Trigonometry,-,588,21,28
4,M,09-12,GEN ED,MATH,Other Math,-,619,21,29.5
4,M,09-12,GEN ED,SCIENCE,Earth Science,-,863,32,27
4,M,09-12,GEN ED,SCIENCE,Living Environment,-,1557,65,24
4,M,09-12,GEN ED,SCIENCE,Chemistry,-,1122,36,31.2
4,M,09-12,GEN ED,SCIENCE,Physics,-,463,14,33.1
4,M,09-12,GEN ED,SCIENCE,Other Science,-,815,33,24.7
4,M,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,1807,70,25.8
4,M,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,720,29,24.8
4,M,09-12,GEN ED,SOCIAL STUDIES,Economics,-,182,8,22.8
4,M,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,535,19,28.2
4,M,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,373,17,21.9
4,M,09-12,CTT,ENGLISH,English 10,-,143,5,28.6
4,M,09-12,CTT,ENGLISH,English 11,-,91,3,30.3
4,M,09-12,CTT,ENGLISH,English 12,-,23,1,23
4,M,09-12,CTT,ENGLISH,MS English Core,-,18,1,18
4,M,09-12,CTT,ENGLISH,Other English,-,56,3,18.7
4,M,09-12,CTT,MATH,Integrated Algebra,-,140,5,28
4,M,09-12,CTT,MATH,Geometry,-,131,5,26.2
4,M,09-12,CTT,SCIENCE,Earth Science,-,152,5,30.4
4,M,09-12,CTT,SCIENCE,Living Environment,-,285,12,23.8
4,M,09-12,CTT,SCIENCE,Other Science,-,161,6,26.8
4,M,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,319,12,26.6
4,M,09-12,CTT,SOCIAL STUDIES,US History & Government,-,119,4,29.8
4,M,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,26,1,26
4,M,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,49,2,24.5
4,M,09-12,SPEC ED,ENGLISH,English 10,-,13,1,13
4,M,09-12,SPEC ED,ENGLISH,English 11,-,26,2,13
4,M,09-12,SPEC ED,ENGLISH,English 12,-,11,1,11
4,M,09-12,SPEC ED,ENGLISH,Other English,-,23,2,11.5
4,M,09-12,SPEC ED,MATH,Integrated Algebra,-,12,1,12
4,M,09-12,SPEC ED,MATH,Geometry,-,13,1,13
4,M,09-12,SPEC ED,SCIENCE,Earth Science,-,30,2,15
4,M,09-12,SPEC ED,SCIENCE,Other Science,-,31,2,15.5
